Player,Country,Span,Matches,Innings,BallsBowled,RunsConceded,Wickets,BowlingAverage,EconomyRate,StrikeRate,5WicketsPerInnings
M Muralitharan (Asia/ICC/SL),Sri Lanka,1993-2011,350,341,18811,12326,534,23.08,3.93,35.2,10
Wasim Akram (Pak),Pakistan,1984-2003,356,351,18186,11812,502,23.52,3.89,36.2,6
Waqar Younis (Pak),Pakistan,1989-2003,262,258,12698,9919,416,23.84,4.68,30.5,13
WPUJC Vaas (Asia/SL),Sri Lanka,1994-2008,322,320,15775,11014,400,27.53,4.18,39.4,4
SM Pollock (Afr/ICC/SA),South Africa,1996-2008,303,297,15712,9631,393,24.5,3.67,39.9,5
GD McGrath (Aus/ICC),Australia,1993-2007,250,248,12970,8391,381,22.02,3.88,34,7
B Lee (Aus),Australia,2000-2012,221,217,11185,8877,380,23.36,4.76,29.4,9
Shahid Afridi (Asia/ICC/Pak),Pakistan,1996-2013,354,328,15498,11937,348,34.3,4.62,44.5,8
A Kumble (Asia/India),India,1990-2007,271,265,14496,10412,337,30.89,4.3,43,2
ST Jayasuriya (Asia/SL),Sri Lanka,1989-2011,445,368,14874,11871,323,36.75,4.78,46,4
J Srinath (India),India,1991-2003,229,227,11935,8847,315,28.08,4.44,37.8,3
SK Warne (Aus/ICC),Australia,1993-2005,194,191,10642,7541,293,25.73,4.25,36.3,1
AB Agarkar (India),India,1998-2007,191,188,9484,8021,288,27.85,5.07,32.9,2
Saqlain Mushtaq (Pak),Pakistan,1995-2003,169,165,8770,6275,288,21.78,4.29,30.4,6
Z Khan (Asia/India),India,2000-2012,200,197,10097,8301,282,29.43,4.93,35.8,1
DL Vettori (ICC/NZ),New Zealand,1997-2011,272,255,12903,8880,282,31.48,4.12,45.7,2
AA Donald (SA),South Africa,1991-2003,164,162,8561,5926,272,21.78,4.15,31.4,2
JH Kallis (Afr/ICC/SA),South Africa,1996-2012,321,280,10636,8558,270,31.69,4.82,39.3,2
Abdul Razzaq (Asia/Pak),Pakistan,1996-2011,265,254,10941,8564,269,31.83,4.69,40.6,3
